,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Directory on gogeneral:,Java/SimultaneousMoveGames/FinalExperiments/RandomUCT/RealExperiments_version46,,,,,,,,Battle,,,,
,,version:,GGP_MCTS46,,,,,,,,Results in point of view of DuctMax:,,,Results in point of view of SeqUCTDefensive,
,,Thinking time per move:,2.5s,,,,,,,,,,,,
,,,,,,,,,,,21/03/2014_11.02,,,21/03/2014_11.02,
,,,,,,,,,,, Games played,500,, Games played,500
,,,,,,,,,,, Mean,0.499,, Mean,0.501
,,,,,,,,,,, Wins,5,, Wins,6
,,,,,,,,,,, Draws,489,, Draws,489
,,,,,,,,,,, Losses,6,, Losses,5
,,,,,,,,,,, Conf. interval binomial formula based,0.0438268447,, Conf. interval binomial formula based,0.0438268447
,,,,,,,,,,, Conf.interval 95% with n,0.0064999936,, Conf.interval 95% with n,0.0064999936
,,,,,,,,,,, Conf.interval 95% with n-1,0.0065065034,, Conf.interval 95% with n-1,0.0065065034
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,Runners,,,,
,,,,,,,,,,,Results in point of view of DuctMax:,,,Results in point of view of SeqUCTDefensive,
,,,,,,,,,,,,,,,
,,,,,,,,,,,21/03/2014_19.47,,,21/03/2014_19.47,
,,,,,,,,,,, Games played,500,, Games played,500
,,,,,,,,,,, Mean,0.511,, Mean,0.489
,,,,,,,,,,, Wins,248,, Wins,237
,,,,,,,,,,, Draws,15,, Draws,15
,,,,,,,,,,, Losses,237,, Losses,248
,,,,,,,,,,, Conf. interval binomial formula based,0.043816325,, Conf. interval binomial formula based,0.043816325
,,,,,,,,,,, Conf.interval 95% with n,0.0431537522,, Conf.interval 95% with n,0.0431537522
,,,,,,,,,,, Conf.interval 95% with n-1,0.0431969708,, Conf.interval 95% with n-1,0.0431969708
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,Tron,,,,
,,,,,,,,,,,Results in point of view of DuctMax:,,,Results in point of view of SeqUCTDefensive,
,,,,,,,,,,,,,,,
,,,,,,,,,,,21/03/2014_09.14,,,21/03/2014_09.14,
,,,,,,,,,,, Games played,500,, Games played,500
,,,,,,,,,,, Mean,0.46,, Mean,0.54
,,,,,,,,,,, Wins,131,, Wins,171
,,,,,,,,,,, Draws,198,, Draws,198
,,,,,,,,,,, Losses,171,, Losses,131
,,,,,,,,,,, Conf. interval binomial formula based,0.0436864611,, Conf. interval binomial formula based,0.0436864611
,,,,,,,,,,, Conf.interval 95% with n,0.0338802314,, Conf.interval 95% with n,0.0338802314
,,,,,,,,,,, Conf.interval 95% with n-1,0.0339141625,, Conf.interval 95% with n-1,0.0339141625
