,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Directory on gogeneral:,Java/SimultaneousMoveGames/FinalExperiments/RandomUCT/RealExperiments_version46,,,,,,,Battle,,,,
,,version:,GGP_MCTS46,,,,,,,Results in point of view of Exp3:,,,Results in point of view of RegretMatching,
,,Thinking time per move:,2.5s,,,,,,,,,,,
,,gogeneral,,,,,,,,21/03/2014_21.54,,,21/03/2014_21.54,
,,,,,,,,,, Games played,500,, Games played,500
,,,,,,,,,, Mean,0.426,, Mean,0.574
,,,,,,,,,, Wins,70,, Wins,144
,,,,,,,,,, Draws,286,, Draws,286
,,,,,,,,,, Losses,144,, Losses,70
,,,,,,,,,, Conf. interval binomial formula based,0.0433442822,, Conf. interval binomial formula based,0.0433442822
,,,,,,,,,, Conf.interval 95% with n,0.0279290028,, Conf.interval 95% with n,0.0279290028
,,,,,,,,,, Conf.interval 95% with n-1,0.0279569738,, Conf.interval 95% with n-1,0.0279569738
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,BiddingTicTacToe,,,,
,,,,,,,,,,Results in point of view of Exp3:,,,Results in point of view of RegretMatching,
,,,,,,,,,,,,,,
,,,,,,,,,,21/03/2014_14.04,,,21/03/2014_14.04,
,,,,,,,,,, Games played,500,, Games played,500
,,,,,,,,,, Mean,0.461,, Mean,0.539
,,,,,,,,,, Wins,224,, Wins,263
,,,,,,,,,, Draws,13,, Draws,13
,,,,,,,,,, Losses,263,, Losses,224
,,,,,,,,,, Conf. interval binomial formula based,0.0436934074,, Conf. interval binomial formula based,0.0436934074
,,,,,,,,,, Conf.interval 95% with n,0.0431181291,, Conf.interval 95% with n,0.0431181291
,,,,,,,,,, Conf.interval 95% with n-1,0.043161312,, Conf.interval 95% with n-1,0.043161312
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,Chinook,,,,
,,,,,,,,,,Results in point of view of Exp3:,,,Results in point of view of RegretMatching,
,,,,,,,,,,,,,,
,,,,,,,,,,21/03/2014_17.12,,,21/03/2014_17.12,
,,,,,,,,,, Games played,500,, Games played,500
,,,,,,,,,, Mean,0.915,, Mean,0.085
,,,,,,,,,, Wins,456,, Wins,41
,,,,,,,,,, Draws,3,, Draws,3
,,,,,,,,,, Losses,41,, Losses,456
,,,,,,,,,, Conf. interval binomial formula based,0.0244450584,, Conf. interval binomial formula based,0.0244450584
,,,,,,,,,, Conf.interval 95% with n,0.0242081821,, Conf.interval 95% with n,0.0242081821
,,,,,,,,,, Conf.interval 95% with n-1,0.0242324266,, Conf.interval 95% with n-1,0.0242324266
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,Goofspiel,,,,
,,,,,,,,,,Results in point of view of Exp3:,,,Results in point of view of RegretMatching,
,,,,,,,,,,,,,,
