,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,, Conf.interval 95% with n-1,0.0155072042,, Conf.interval 95% with n-1,0.0155072042
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,RacetrackCorridor,,,,
,,,,,,,,,,,,,Results in point of view of DUCB1T:,,,Results in point of view of RegretMatching:,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,21/03/2014_12.45,,,21/03/2014_12.45,
,,,,,,,,,,,,, Games played,500,, Games played,500
,,,,,,,,,,,,, Mean,0.98,, Mean,0.02
,,,,,,,,,,,,, Wins,482,, Wins,2
,,,,,,,,,,,,, Draws,16,, Draws,16
,,,,,,,,,,,,, Losses,2,, Losses,482
,,,,,,,,,,,,, Conf. interval binomial formula based,0.0122715411,, Conf. interval binomial formula based,0.0122715411
,,,,,,,,,,,,, Conf.interval 95% with n,0.0094406101,, Conf.interval 95% with n,0.0094406101
,,,,,,,,,,,,, Conf.interval 95% with n-1,0.0094500649,, Conf.interval 95% with n-1,0.0094500649
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Runners,,,,
,,,,,,,,,,,,,Results in point of view of DUCB1T:,,,Results in point of view of RegretMatching:,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,21/03/2014_22.29,,,21/03/2014_22.29,
,,,,,,,,,,,,, Games played,500,, Games played,500
,,,,,,,,,,,,, Mean,0.819,, Mean,0.181
,,,,,,,,,,,,, Wins,375,, Wins,56
,,,,,,,,,,,,, Draws,69,, Draws,69
,,,,,,,,,,,,, Losses,56,, Losses,375
,,,,,,,,,,,,, Conf. interval binomial formula based,0.0337483316,, Conf. interval binomial formula based,0.0337483316
,,,,,,,,,,,,, Conf.interval 95% with n,0.0295614527,, Conf.interval 95% with n,0.0295614527
,,,,,,,,,,,,, Conf.interval 95% with n-1,0.0295910586,, Conf.interval 95% with n-1,0.0295910586
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Tron,,,,
,,,,,,,,,,,,,Results in point of view of DUCB1T:,,,Results in point of view of RegretMatching:,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,22/03/2014_04.47,,,22/03/2014_04.47,
,,,,,,,,,,,,, Games played,500,, Games played,500
,,,,,,,,,,,,, Mean,0.799,, Mean,0.201
,,,,,,,,,,,,, Wins,369,, Wins,70
,,,,,,,,,,,,, Draws,61,, Draws,61
,,,,,,,,,,,,, Losses,70,, Losses,369
,,,,,,,,,,,,, Conf. interval binomial formula based,0.0351271154,, Conf. interval binomial formula based,0.0351271154
,,,,,,,,,,,,, Conf.interval 95% with n,0.0316160819,, Conf.interval 95% with n,0.0316160819
,,,,,,,,,,,,, Conf.interval 95% with n-1,0.0316477455,, Conf.interval 95% with n-1,0.0316477455
