,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Directory on gogeneral:,Java/SimultaneousMoveGames/FinalExperiments/RandomUCT/RealExperiments_version46,,,,,,,,,,,,
,version:,GGP_MCTS46,,,,,,,,,,,,
,Thinking time per move:,2.5s,,,,,,,,Battle,,,,
,gogeneral,,,,,,,,,Results in point of view of DuctMax:,,,Results in point of view of RegretMatching,
,,,,,,,,,, Draws,16,, Draws,16
,,,,,,,,,, Losses,0,, Losses,484
,,,,,,,,,, Conf. interval binomial formula based,0.0109983772,, Conf. interval binomial formula based,0.0109983772
,,,,,,,,,, Conf.interval 95% with n,0.0077135401,, Conf.interval 95% with n,0.0077135401
,,,,,,,,,, Conf.interval 95% with n-1,0.0077212652,, Conf.interval 95% with n-1,0.0077212652
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,Runners,,,,
,,,,,,,,,,Results in point of view of DuctMax:,,,Results in point of view of RegretMatching,
,,,,,,,,,,,,,,
,,,,,,,,,,20/03/2014_23.40,,,20/03/2014_23.40,
,,,,,,,,,, Games played,500,, Games played,500
,,,,,,,,,, Mean,0.791,, Mean,0.209
,,,,,,,,,, Wins,356,, Wins,65
,,,,,,,,,, Draws,79,, Draws,79
,,,,,,,,,, Losses,65,, Losses,356
,,,,,,,,,, Conf. interval binomial formula based,0.0356395699,, Conf. interval binomial formula based,0.0356395699
,,,,,,,,,, Conf.interval 95% with n,0.0310916796,, Conf.interval 95% with n,0.0310916796
,,,,,,,,,, Conf.interval 95% with n-1,0.031122818,, Conf.interval 95% with n-1,0.031122818
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,Tron,,,,
,,,,,,,,,,Results in point of view of DuctMax:,,,Results in point of view of RegretMatching,
,,,,,,,,,,,,,,
,,,,,,,,,,21/03/2014_05.33,,,21/03/2014_05.33,
,,,,,,,,,, Games played,500,, Games played,500
,,,,,,,,,, Mean,0.8,, Mean,0.2
,,,,,,,,,, Wins,370,, Wins,70
,,,,,,,,,, Draws,60,, Draws,60
,,,,,,,,,, Losses,70,, Losses,370
,,,,,,,,,, Conf. interval binomial formula based,0.0350615459,, Conf. interval binomial formula based,0.0350615459
,,,,,,,,,, Conf.interval 95% with n,0.0316040504,, Conf.interval 95% with n,0.0316040504
,,,,,,,,,, Conf.interval 95% with n-1,0.0316357019,, Conf.interval 95% with n-1,0.0316357019
