;;;;;;;;;;;;Battle;;;;
;;;;;;;;;;;;Results in point of view of DUCB1T:;;;Results in point of view of RegretMatching:;
;;;;;;;;;;;;Results in point of view of DUCB1T:;;;Results in point of view of RegretMatching:;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;04/04/2014_16.01;;;04/04/2014_16.01;
;;;;;;;;;;;; Games played;1000;; Games played;1000
;;;;;;;;;;;; Mean;0.9785;; Mean;0.0215
;;;;;;;;;;;; Wins;961;; Wins;4
;;;;;;;;;;;; Draws;35;; Draws;35
;;;;;;;;;;;; Losses;4;; Losses;961
;;;;;;;;;;;; Conf. interval binomial formula based;0.008989918;; Conf. interval binomial formula based;0.008989918
;;;;;;;;;;;; Conf.interval 95% with n;0.006870562;; Conf.interval 95% with n;0.006870562
;;;;;;;;;;;; Conf.interval 95% with n-1;0.006874;; Conf.interval 95% with n-1;0.006874
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;Runners;;;;
;;;;;;;;;;;;Results in point of view of DUCB1T:;;;Results in point of view of RegretMatching:;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;05/04/2014_11.09;;;05/04/2014_11.09;
;;;;;;;;;;;; Games played;1000;; Games played;1000
;;;;;;;;;;;; Mean;0.826;; Mean;0.174
;;;;;;;;;;;; Wins;756;; Wins;104
;;;;;;;;;;;; Draws;140;; Draws;140
;;;;;;;;;;;; Losses;104;; Losses;756
;;;;;;;;;;;; Conf. interval binomial formula based;0.023497449;; Conf. interval binomial formula based;0.023497449
;;;;;;;;;;;; Conf.interval 95% with n;0.020437077;; Conf.interval 95% with n;0.020437077
;;;;;;;;;;;; Conf.interval 95% with n-1;0.020447303;; Conf.interval 95% with n-1;0.020447303
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;Tron;;;;
;;;;;;;;;;;;Results in point of view of DUCB1T:;;;Results in point of view of RegretMatching:;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;06/04/2014_00.09;;;06/04/2014_00.09;
;;;;;;;;;;;; Games played;1000;; Games played;1000
;;;;;;;;;;;; Mean;0.825;; Mean;0.175
;;;;;;;;;;;; Wins;766;; Wins;116
;;;;;;;;;;;; Draws;118;; Draws;118
;;;;;;;;;;;; Losses;116;; Losses;766
;;;;;;;;;;;; Conf. interval binomial formula based;0.023550605;; Conf. interval binomial formula based;0.023550605
;;;;;;;;;;;; Conf.interval 95% with n;0.021007232;; Conf.interval 95% with n;0.021007232
;;;;;;;;;;;; Conf.interval 95% with n-1;0.021017744;; Conf.interval 95% with n-1;0.021017744
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
