,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Directory on gogeneral:,Java/SimultaneousMoveGames/FinalExperiments/RandomUCT/RealExperiments1000games,,,,,,,,Battle,,,,
,,version:,GGP_MCTS46,,,,,,,,Results in point of view of Exp3:,,,Results in point of view of SeqUCTDefensive,
,,Thinking time per move:,2.5s,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,27/03/2014_13.54,,,27/03/2014_13.54,
,,,,,,,,,,, Games played,1000,, Games played,1000
,,,,,,,,,,, Mean,0.382,, Mean,0.618
,,,,,,,,,,, Wins,8,, Wins,244
,,,,,,,,,,, Draws,748,, Draws,748
,,,,,,,,,,, Losses,244,, Losses,8
,,,,,,,,,,, Conf. interval binomial formula based,0.0301149392,, Conf. interval binomial formula based,0.0301149392
,,,,,,,,,,, Conf.interval 95% with n,0.0137306359,, Conf.interval 95% with n,0.0137306359
,,,,,,,,,,, Conf.interval 95% with n-1,0.0137375063,, Conf.interval 95% with n-1,0.0137375063
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,Runners,,,,
,,,,,,,,,,,Results in point of view of Exp3:,,,Results in point of view of SeqUCTDefensive,
,,,,,,,,,,,,,,,
,,,,,,,,,,,28/03/2014_10.06,,,28/03/2014_10.06,
,,,,,,,,,,, Games played,1000,, Games played,1000
,,,,,,,,,,, Mean,0.103,, Mean,0.897
,,,,,,,,,,, Wins,7,, Wins,801
,,,,,,,,,,, Draws,192,, Draws,192
,,,,,,,,,,, Losses,801,, Losses,7
,,,,,,,,,,, Conf. interval binomial formula based,0.0188395665,, Conf. interval binomial formula based,0.0188395665
,,,,,,,,,,, Conf.interval 95% with n,0.013058808,, Conf.interval 95% with n,0.013058808
,,,,,,,,,,, Conf.interval 95% with n-1,0.0130653423,, Conf.interval 95% with n-1,0.0130653423
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,Tron,,,,
,,,,,,,,,,,Results in point of view of Exp3:,,,Results in point of view of SeqUCTDefensive,
,,,,,,,,,,,,,,,
,,,,,,,,,,,29/03/2014_02.28,,,29/03/2014_02.28,
,,,,,,,,,,, Games played,1000,, Games played,1000
,,,,,,,,,,, Mean,0.4185,, Mean,0.5815
,,,,,,,,,,, Wins,288,, Wins,451
,,,,,,,,,,, Draws,261,, Draws,261
,,,,,,,,,,, Losses,451,, Losses,288
,,,,,,,,,,, Conf. interval binomial formula based,0.0305758587,, Conf. interval binomial formula based,0.0305758587
,,,,,,,,,,, Conf.interval 95% with n,0.026157575,, Conf.interval 95% with n,0.026157575
,,,,,,,,,,, Conf.interval 95% with n-1,0.0261706637,, Conf.interval 95% with n-1,0.0261706637
