Directory on gogeneral:;Java/SimultaneousMoveGames/FinalExperiments/RandomUCT/RealExperiments1000games;;;;;;;;Battle;;;;
version:;GGP_MCTS46;;;;;;;;Results in point of view of RegretMatching:;;;Results in point of view of SeqUCTDefensive;
Thinking time per move:;2.5s;;;;;;;;;;;;
;;;;;;;;; Conf.interval 95% with n-1;0.00529973;; Conf.interval 95% with n-1;0.00529973
;;;;;;;;;;;;;
;;;;;;;;;Runners;;;;
;;;;;;;;;Results in point of view of RegretMatching:;;;Results in point of view of SeqUCTDefensive;
;;;;;;;;;;;;;
;;;;;;;;;27/03/2014_12.24;;;27/03/2014_12.24;
;;;;;;;;; Games played;1000;; Games played;1000
;;;;;;;;; Mean;0.2045;; Mean;0.7955
;;;;;;;;; Wins;118;; Wins;709
;;;;;;;;; Draws;173;; Draws;173
;;;;;;;;; Losses;709;; Losses;118
;;;;;;;;; Conf. interval binomial formula based;0.024999011;; Conf. interval binomial formula based;0.024999011
;;;;;;;;; Conf.interval 95% with n;0.021419648;; Conf.interval 95% with n;0.021419648
;;;;;;;;; Conf.interval 95% with n-1;0.021430366;; Conf.interval 95% with n-1;0.021430366
;;;;;;;;;;;;;
;;;;;;;;;Tron;;;;
;;;;;;;;;Results in point of view of RegretMatching:;;;Results in point of view of SeqUCTDefensive;
;;;;;;;;;;;;;
;;;;;;;;;28/03/2014_00.26;;;28/03/2014_00.26;
;;;;;;;;; Games played;1000;; Games played;1000
;;;;;;;;; Mean;0.197;; Mean;0.803
;;;;;;;;; Wins;131;; Wins;737
;;;;;;;;; Draws;132;; Draws;132
;;;;;;;;; Losses;737;; Losses;131
;;;;;;;;; Conf. interval binomial formula based;0.024651705;; Conf. interval binomial formula based;0.024651705
;;;;;;;;; Conf.interval 95% with n;0.021930202;; Conf.interval 95% with n;0.021930202
;;;;;;;;; Conf.interval 95% with n-1;0.021941175;; Conf.interval 95% with n-1;0.021941175
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
