;;;;;;;;;Battle;;;;
;;;;;;;;;Results in point of view of DUCB1T:;;;Results in point of view of Exp3:;
;;;;;;;;; Conf.interval 95% with n-1;0.015080407;; Conf.interval 95% with n-1;0.015080407
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;Runners;;;;
;;;;;;;;;Results in point of view of DUCB1T:;;;Results in point of view of Exp3;
;;;;;;;;;05/04/2014_10.46;;;05/04/2014_10.46;
;;;;;;;;; Games played;1000;; Games played;1000
;;;;;;;;; Mean;0.903;; Mean;0.097
;;;;;;;;; Wins;813;; Wins;7
;;;;;;;;; Draws;180;; Draws;180
;;;;;;;;; Losses;7;; Losses;813
;;;;;;;;; Conf. interval binomial formula based;0.018343652;; Conf. interval binomial formula based;0.018343652
;;;;;;;;; Conf.interval 95% with n;0.012791309;; Conf.interval 95% with n;0.012791309
;;;;;;;;; Conf.interval 95% with n-1;0.012797709;; Conf.interval 95% with n-1;0.012797709
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;Tron;;;;
;;;;;;;;;Results in point of view of DUCB1T:;;;Results in point of view of Exp3;
;;;;;;;;;06/04/2014_03.26;;;06/04/2014_03.26;
;;;;;;;;; Games played;1000;; Games played;1000
;;;;;;;;; Mean;0.596;; Mean;0.404
;;;;;;;;; Wins;466;; Wins;274
;;;;;;;;; Draws;260;; Draws;260
;;;;;;;;; Losses;274;; Losses;466
;;;;;;;;; Conf. interval binomial formula based;0.030413744;; Conf. interval binomial formula based;0.030413744
;;;;;;;;; Conf.interval 95% with n;0.025986377;; Conf.interval 95% with n;0.025986377
;;;;;;;;; Conf.interval 95% with n-1;0.02599938;; Conf.interval 95% with n-1;0.02599938
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
