,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Directory on gogeneral:,Java/SimultaneousMoveGames/FinalExperiments/RandomUCT/RealExperiments_version46,,,,,,Battle,,,,
,version:,GGP_MCTS46,,,,,,Results in point of view of DuctMax:,,,Results in point of view of Exp3:,
,,,,,,,,Runners,,,,
,,,,,,,,Results in point of view of DuctMax:,,,Results in point of view of Exp3:,
,,,,,,,,,,,,
,,,,,,,,20/03/2014_23.05,,,20/03/2014_23.05,
,,,,,,,, Games played,500,, Games played,500
,,,,,,,, Mean,0.893,, Mean,0.107
,,,,,,,, Wins,395,, Wins,2
,,,,,,,, Draws,103,, Draws,103
,,,,,,,, Losses,2,, Losses,395
,,,,,,,, Conf. interval binomial formula based,0.0270949708,, Conf. interval binomial formula based,0.0270949708
,,,,,,,, Conf.interval 95% with n,0.0183970825,, Conf.interval 95% with n,0.0183970825
,,,,,,,, Conf.interval 95% with n-1,0.0184155072,, Conf.interval 95% with n-1,0.0184155072
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,Tron,,,,
,,,,,,,,Results in point of view of DuctMax:,,,Results in point of view of Exp3:,
,,,,,,,,,,,,
,,,,,,,,21/03/2014_07.06,,,21/03/2014_07.06,
,,,,,,,, Games played,500,, Games played,500
,,,,,,,, Mean,0.58,, Mean,0.42
,,,,,,,, Wins,227,, Wins,147
,,,,,,,, Draws,126,, Draws,126
,,,,,,,, Losses,147,, Losses,227
,,,,,,,, Conf. interval binomial formula based,0.0432623106,, Conf. interval binomial formula based,0.0432623106
,,,,,,,, Conf.interval 95% with n,0.0372503144,, Conf.interval 95% with n,0.0372503144
,,,,,,,, Conf.interval 95% with n-1,0.0372876206,, Conf.interval 95% with n-1,0.0372876206
