,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Directory on gogeneral:,Java/SimultaneousMoveGames/FinalExperiments/RandomUCT/RealExperiments_version46,,,,,,,,,,Battle,,,,
,,version:,GGP_MCTS46,,,,,,,,,,Results in point of view of DuctMax:,,,Results in point of view of DUCB1T:,
,,,,,,,,,,,,, Conf.interval 95% with n-1,0.0289013857,, Conf.interval 95% with n-1,0.0289013857
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,RacetrackCorridor,,,,
,,,,,,,,,,,,,Results in point of view of DuctMax:,,,Results in point of view of DUCB1T:,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,20/03/2014_13.55,,,20/03/2014_13.55,
,,,,,,,,,,,,, Games played,500,, Games played,500
,,,,,,,,,,,,, Mean,0.5,, Mean,0.5
,,,,,,,,,,,,, Wins,8,, Wins,8
,,,,,,,,,,,,, Draws,484,, Draws,484
,,,,,,,,,,,,, Losses,8,, Losses,8
,,,,,,,,,,,,, Conf. interval binomial formula based,0.0438269324,, Conf. interval binomial formula based,0.0438269324
,,,,,,,,,,,,, Conf.interval 95% with n,0.00784,, Conf.interval 95% with n,0.00784
,,,,,,,,,,,,, Conf.interval 95% with n-1,0.0078478518,, Conf.interval 95% with n-1,0.0078478518
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Runners,,,,
,,,,,,,,,,,,,Results in point of view of DuctMax:,,,Results in point of view of DUCB1T:,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,20/03/2014_22.09,,,20/03/2014_22.09,
,,,,,,,,,,,,, Games played,500,, Games played,500
,,,,,,,,,,,,, Mean,0.499,, Mean,0.501
,,,,,,,,,,,,, Wins,241,, Wins,242
,,,,,,,,,,,,, Draws,17,, Draws,17
,,,,,,,,,,,,, Losses,242,, Losses,241
,,,,,,,,,,,,, Conf. interval binomial formula based,0.0438268447,, Conf. interval binomial formula based,0.0438268447
,,,,,,,,,,,,, Conf.interval 95% with n,0.0430753423,, Conf.interval 95% with n,0.0430753423
,,,,,,,,,,,,, Conf.interval 95% with n-1,0.0431184824,, Conf.interval 95% with n-1,0.0431184824
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Tron,,,,
,,,,,,,,,,,,,Results in point of view of DuctMax:,,,Results in point of view of DUCB1T:,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,21/03/2014_08.01,,,21/03/2014_08.01,
,,,,,,,,,,,,, Games played,500,, Games played,500
,,,,,,,,,,,,, Mean,0.479,, Mean,0.521
,,,,,,,,,,,,, Wins,130,, Wins,151
,,,,,,,,,,,,, Draws,219,, Draws,219
,,,,,,,,,,,,, Losses,151,, Losses,130
,,,,,,,,,,,,, Conf. interval binomial formula based,0.0437882599,, Conf. interval binomial formula based,0.0437882599
,,,,,,,,,,,,, Conf.interval 95% with n,0.0328039831,, Conf.interval 95% with n,0.0328039831
,,,,,,,,,,,,, Conf.interval 95% with n-1,0.0328368364,, Conf.interval 95% with n-1,0.0328368364
