,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Directory on gogeneral:,Java/SimultaneousMoveGames/FinalExperiments/RandomUCT/RealExperiments_version46,,,,,,,,Battle,,,,
,,version:,GGP_MCTS46,,,,,,,,Results in point of view of RegretMatching:,,,Results in point of view of SeqUCTDefensive,
,,,,,,,,,,, Games played,500,, Games played,500
,,,,,,,,,,, Mean,0.008,, Mean,0.992
,,,,,,,,,,, Wins,0,, Wins,492
,,,,,,,,,,, Draws,8,, Draws,8
,,,,,,,,,,, Losses,492,, Losses,0
,,,,,,,,,,, Conf. interval binomial formula based,0.007808577,, Conf. interval binomial formula based,0.007808577
,,,,,,,,,,, Conf.interval 95% with n,0.0054991886,, Conf.interval 95% with n,0.0054991886
,,,,,,,,,,, Conf.interval 95% with n-1,0.005504696,, Conf.interval 95% with n-1,0.005504696
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,Runners,,,,
,,,,,,,,,,,Results in point of view of RegretMatching:,,,Results in point of view of SeqUCTDefensive,
,,,,,,,,,,,26/03/2014_00.22,,,26/03/2014_00.22,
,,,,,,,,,,, Games played,500,, Games played,500
,,,,,,,,,,, Mean,0.206,, Mean,0.794
,,,,,,,,,,, Wins,57,, Wins,351
,,,,,,,,,,, Draws,92,, Draws,92
,,,,,,,,,,, Losses,351,, Losses,57
,,,,,,,,,,, Conf. interval binomial formula based,0.0354498932,, Conf. interval binomial formula based,0.0354498932
,,,,,,,,,,, Conf.interval 95% with n,0.0300544127,, Conf.interval 95% with n,0.0300544127
,,,,,,,,,,, Conf.interval 95% with n-1,0.0300845123,, Conf.interval 95% with n-1,0.0300845123
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,Tron,,,,
,,,,,,,,,,,Results in point of view of RegretMatching:,,,Results in point of view of SeqUCTDefensive,
,,,,,,,,,,,26/03/2014_06.19,,,26/03/2014_06.19,
,,,,,,,,,,, Games played,500,, Games played,500
,,,,,,,,,,, Mean,0.185,, Mean,0.815
,,,,,,,,,,, Wins,65,, Wins,380
,,,,,,,,,,, Draws,55,, Draws,55
,,,,,,,,,,, Losses,380,, Losses,65
,,,,,,,,,,, Conf. interval binomial formula based,0.0340357823,, Conf. interval binomial formula based,0.0340357823
,,,,,,,,,,, Conf.interval 95% with n,0.030775745,, Conf.interval 95% with n,0.030775745
,,,,,,,,,,, Conf.interval 95% with n-1,0.030806567,, Conf.interval 95% with n-1,0.030806567
