,,,,,,,,,,,,,,,
,,,,,,,,,,, Games played,500,, Games played,500
,,,,,,,,,,, Mean,0.608,, Mean,0.392
,,,,,,,,,,, Wins,120,, Wins,12
,,,,,,,,,,, Draws,368,, Draws,368
,,,,,,,,,,, Losses,12,, Losses,120
,,,,,,,,,,, Conf. interval binomial formula based,0.0427923259,, Conf. interval binomial formula based,0.0427923259
,,,,,,,,,,, Conf.interval 95% with n,0.0204321892,, Conf.interval 95% with n,0.0204321892
,,,,,,,,,,, Conf.interval 95% with n-1,0.0204526521,, Conf.interval 95% with n-1,0.0204526521
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,Runners,,,,
,,,,,,,,,,,Results in point of view of DUCB1T:,,,Results in point of view of Exp3,
,,,,,,,,,,,,,,,
,,,,,,,,,,,21/03/2014_22.42,,,21/03/2014_22.42,
,,,,,,,,,,, Games played,500,, Games played,500
,,,,,,,,,,, Mean,0.901,, Mean,0.099
,,,,,,,,,,, Wins,402,, Wins,1
,,,,,,,,,,, Draws,97,, Draws,97
,,,,,,,,,,, Losses,1,, Losses,402
,,,,,,,,,,, Conf. interval binomial formula based,0.02617888,, Conf. interval binomial formula based,0.02617888
,,,,,,,,,,, Conf.interval 95% with n,0.0176832847,, Conf.interval 95% with n,0.0176832847
,,,,,,,,,,, Conf.interval 95% with n-1,0.0177009945,, Conf.interval 95% with n-1,0.0177009945
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,Tron,,,,
,,,,,,,,,,,Results in point of view of DUCB1T:,,,Results in point of view of Exp3,
,,,,,,,,,,,,,,,
,,,,,,,,,,,22/03/2014_06.49,,,22/03/2014_06.49,
,,,,,,,,,,, Games played,500,, Games played,500
,,,,,,,,,,, Mean,0.552,, Mean,0.448
,,,,,,,,,,, Wins,206,, Wins,154
,,,,,,,,,,, Draws,140,, Draws,140
,,,,,,,,,,, Losses,154,, Losses,206
,,,,,,,,,,, Conf. interval binomial formula based,0.0435892719,, Conf. interval binomial formula based,0.0435892719
,,,,,,,,,,, Conf.interval 95% with n,0.0369080022,, Conf.interval 95% with n,0.0369080022
,,,,,,,,,,, Conf.interval 95% with n-1,0.0369449657,, Conf.interval 95% with n-1,0.0369449657
